ID,브랜드명,팝업스토어명,카테고리,세부카테고리,시작일,종료일,운영일수,위치,구역,원산지(원본),원산지(정제),콜라보,설명,연도,출처
1,선데이토즈(SundayToz),애니팡 팝업스토어,엔터,,2015-10-15,2015-10-28,,서울 성동구 성수동 레필로소피 카페,,국내,국내,,"국민 게임 '애니팡'의 첫 번째 오프라인 팝업스토어. 애니팡 캐릭터 대형 인형(1~2m), 소형 인형, 쿠션, 피규어, 가방, 팬시, 문구 등 다양한 제품 전시 및 판매. 명화 패러디 작품 감상 공간과 '상하이 애니팡' 이벤트, SNS 공유 행사 진행. 2주간 3,000명 이상 방문.",2015,"['https://biz.heraldcorp.com/article/700130', 'https://www.yna.co.kr/view/AKR20151015150000017']"
2,매거진오성수,2015 어쩌다 마주친 전시 (어.마.전),예술,,2015-06-20,2015-06-28,,서울 성동구 성수동 일대 (12개 공간),,국내,국내,,"지역 매거진 '매거진오성수' 주최, 주관하는 2회째 커뮤니티 아트 전시. 작가 23개 팀, 전시공간 12곳, 오픈하우스 9곳 참여. 성수동에 거주하거나 작업실을 갖고 있는 작가들을 중심으로 진행되며, '누구에게나 열린' 전시를 모토로 함. 그랜드마고, 디웰살롱, 러스티드 아이언 인 덤보, 레필로소피, sssauna, 유쾌한 아이디어 성수동 공장 등 12개 공간에서 동시 개최.",2015,"['https://delightfull.co.kr/2015-%EC%96%B4%EC%A9%8C%EB%8B%A4-%EB%A7%88%EC%A3%BC%EC%B9%9C-%EC%A0%84%EC%8B%9C/', 'https://www.artbava.com/exhibits/2015-%EC%96%B4%EC%A9%8C%EB%8B%A4%EB%A7%88%EC%A3%BC%EC%B9%9C-%EC%A0%84%EC%8B%9C-6%EA%B5%AC%EB%82%987%EA%B7%9C%ED%83%80%EB%A7%88%EC%B9%B4%EB%8B%A4%EB%8B%A461']"
3,성동구청/아트로기획단,아트로 성수 2015,예술,,2015-10-03,2015-10-17,,서울 성동구 성수동 일대,,국내,국내,,"2015 서울시 이웃만들기 지원 공모사업 선정 사업. '보는 예술에서 참여하는 예술'을 표방하는 거리 미술 프로젝트. Draw 성수(드로잉 워크샵), Create 성수(작가 참여 전시), Artist Talk 등 3개 프로그램 진행. 박지만 작가, 성연주 작가 등 참여. 주민 참여형 드로잉 워크샵을 통해 완성된 작품으로 성수동 지도 제작.",2015,['https://www.sgilbo.kr/ko-kr/articles/9050']
4,서울그린트러스트,2015 성수동 동네꽃축제,라이프스타일,,2015-10-10,2015-10-10,,"서울 성동구 성수동 서울숲길 일대, 서울그린트러스트 녹색공유센터",,국내,국내,,"3회째를 맞는 성수동 지역 축제. 27번가꽃시장(직접 키운 식물 판매), 화목한수레(꽃과 나무, 놀이와 담소), 축제 사진영상전, 작은 정원파티, 꽃으로할인(꽃과 관련된 물건을 가져오면 할인해주는 카페/매장) 등 다양한 프로그램 진행.",2015,['https://blog.naver.com/PostView.naver?blogId=sd_seongsu&logNo=220503449359']
5,대림창고,대림창고 갤러리/카페 오픈,라이프스타일,,2015-01-01,2015-12-31,,서울 성동구 성수이로 78,,국내,국내,,성수 상권의 시작을 상징하는 공장형 카페. 옛 공장 창고로 쓰이던 대형 건축물의 외관을 유지한 채 남부만 카페로 리뉴얼. 성수동의 팝업 메카화에 기여한 상징적 공간. 이후 다양한 브랜드 팝업스토어와 전시 공간으로 활용됨.,2015,['https://stories.amorepacific.com/%EC%95%84%EB%AA%A8%EB%A0%88%ED%8D%BC%EC%8B%9C%ED%94%BD-%ED%8C%9D%EC%97%85%EC%9D%98-%EC%84%B1%EC%A7%80-%EC%84%B1%EC%88%98%EB%8F%99-%EB%B3%80%EC%B2%9C%EC%82%AC/']
6,코오롱인더스트리FnC부문,커먼그라운드(Common Ground) 오픈,라이프스타일,,2015-01-01,2015-12-31,,서울 광진구 아차산로 200 (성수동-걸대입구역 사이),,국내,국내,,국내 최초의 팝업 쇼핑몰. 200개의 컨테이너로 구성된 독특한 외관이 특징. K팝 아티스트 팬 사인회를 비롯해 다양한 문화 행사 개최. 성수동 팝업 문화의 중요한 거점으로 자리잡음.,2015,"['https://hanquoclythu.blogspot.com/2024/09/seongsu-dong-thanh-ia-cua-cac-cua-hang.html', 'https://koreana.or.kr/koreana/na/ntt/selectNttInfo.do?nttSn=125725&bbsId=1114']"
7,묯민(Moomin),묯민 팝업스토어,캐릭터/엔터,,2015-11-20,2015-11-20,,서울 광진구 아차산로 200 커먼그라운드,,해외(핀란드),해외(핀란드),,"커먼그라운드에서 운영된 묯민 캐릭터 팝업스토어. 묯민 관련 굿즈(인형, 양말, 저금통, 메모지 등) 판매. 교보 문고 행사와 연계한 묯민 매대 운영.",2015,['https://blog.naver.com/PostView.naver?blogId=aitsuyu&logNo=220547816166']
8,어니언(Onion),어니언 성수점 오픈,F&B,,2015-09-19,2015-09-19,,서울 성동구 성수동 (구 신일금속 공장 터),,국내,국내,,"1970년대 지어진 금속공장 건축물을 리모델링한 인더스트리얼 카페. 759㎡(230평) 규모의 두 동 건축물, 낡은 벽돌과 녹슨 철문, 낡은 타일 등 원형 그대로 보존. 카페 오픈과 함께 2층 옥상 베이커리 '브레드05' 운영. 성수동 대표 핫플레이스로 자리매김하며 주변 상권 활성화에 기여.",2015,"['https://news.nate.com/view/20161116n00485', 'https://valuefactory.tistory.com/852']"
9,클롭(CLOOP),제로소다 팝업스토어,F&B,,2015-01-01,2015-12-31,,서울 성동구 성수동 일대,,국내,국내,,휴양지 리조트 콘셉트로 운영된 음료 브랜드 클룹의 제로소다 팝업스토어. 투어 미션 완료 참가자에게 어메니티 키트 증정 및 인력거를 타고 성수동 반경 1km 투어 제공. 이색적인 체험형 마케팅으로 큰 인기를 끌었음.,2015,"['https://hanquoclythu.blogspot.com/2024/09/seongsu-dong-thanh-ia-cua-cac-cua-hang.html', 'https://koreana.or.kr/koreana/na/ntt/selectNttInfo.do?nttSn=125725&bbsId=1114']"
10,성동구청,성동 디자인위크,예술,,2015-10-01,2015-10-31,,서울 성동구 성수동 일대,,국내,국내,,성동구가 관내 디자인 문화산업 발전을 위해 2015년부터 시작한 행사. 공공예술전시 및 체험형 문화행사로 진행. 이후 패션디자이너 이상봉과 협업하여 신진 디자이너 발굴 패션쇼로 발전. 성수동의 디자인 문화 중심지화에 기여.,2015,"['https://www.seongdongnews.com/news/articleView.html?idxno=31253', 'http://www.thekorean.today/27793']"
